Metrics,estimate,lower,upper,models,Model,scenario
AUROC_value,93.0988,83.7991,98.1846,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
Accuracy,87.9033,80.9668,92.4622,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
Accuracy_train,89.4517,86.2357,92.9491,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
NPV,99.435,98.6553,100.0,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
Precision,18.4826,12.5,26.9143,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
Sensitivity,83.8,60.0,100.0,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
Specificity,88.0312,80.8333,92.6869,ElasticNet regression (VL diag + 1 & SMOTE),ElasticNet regression,S4
AUPRC value,42.7955,19.045,66.5341,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
AUROC_value,93.2847,84.116,98.2305,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
Accuracy,88.0634,81.7145,92.4622,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
Accuracy_train,89.7549,86.5524,93.0724,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
NPV,99.4501,98.6643,100.0,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
Precision,18.8,12.8882,27.3392,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
Sensitivity,84.2,60.0,100.0,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
Specificity,88.1838,81.6199,92.9984,ElasticNet regression (VL diag + 2 & SMOTE),ElasticNet regression,S5
