Metrics,estimate,lower,upper,Model,scenario,criteria_fil
Precision,30.3952,20.6786,41.6641,Random Forest,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,99.3571,87.5,100.0,Random Forest,VL at symptom onset,"Comorbidity
≥3"
Specificity,1.6544,0.0,19.4062,Random Forest,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,19.9287,1.8801,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,83.6624,54.1546,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Accuracy,84.7331,70.3283,95.4691,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
NPV,99.1995,97.3936,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Precision,6.931,0.0,18.4167,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,62.2167,0.0,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Specificity,85.2123,70.3076,97.2546,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,42.898,19.5022,73.9436,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,56.5344,30.1515,80.4015,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
Accuracy,32.0265,21.8056,45.6111,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
NPV,26.1333,0.0,100.0,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
Precision,30.7367,20.6786,42.5,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,99.5893,100.0,100.0,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
Specificity,2.912,0.0,17.1814,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,16.3211,1.8906,70.2472,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,83.4369,57.898,99.4596,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
Accuracy,85.382,73.3997,94.5947,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
NPV,99.2085,97.3839,100.0,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
Precision,6.7518,0.0,16.0577,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,62.4667,0.0,100.0,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
Specificity,85.8637,73.374,96.6476,Ridge regression,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,46.5722,21.7244,77.976,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,59.1851,34.8827,80.8863,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
Accuracy,32.3198,20.6786,47.3684,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
NPV,32.9667,0.0,100.0,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
Precision,30.8493,20.6786,43.6905,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,99.6071,93.4375,100.0,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
Specificity,3.3762,0.0,16.6667,Ridge regression,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,17.0675,1.8622,70.4451,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,83.5223,57.1625,99.4596,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
Accuracy,85.5,73.0795,95.1528,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
NPV,99.2101,97.5,100.0,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
Precision,6.8684,0.0,17.4621,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,62.4167,0.0,100.0,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
Specificity,85.9824,73.0519,97.2304,ElasticNet regression,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,46.0911,21.4603,76.3748,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,58.6275,33.3705,80.8863,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
Accuracy,32.1219,21.9758,47.3684,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
NPV,29.8,0.0,100.0,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
Precision,30.747,20.6786,43.6905,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,99.4643,93.4375,100.0,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
Specificity,3.1278,0.0,16.6667,ElasticNet regression,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,16.7365,1.3209,64.0278,XGBoost,VL at diagnosis,"Comorbidity
1-2"
AUROC_value,84.6095,64.0059,99.0918,XGBoost,VL at diagnosis,"Comorbidity
1-2"
Accuracy,92.4043,87.0338,96.7317,XGBoost,VL at diagnosis,"Comorbidity
1-2"
NPV,98.9329,97.4577,100.0,XGBoost,VL at diagnosis,"Comorbidity
1-2"
Precision,9.1404,0.0,25.0,XGBoost,VL at diagnosis,"Comorbidity
1-2"
Sensitivity,41.2667,0.0,100.0,XGBoost,VL at diagnosis,"Comorbidity
1-2"
Specificity,93.2935,87.6856,97.874,XGBoost,VL at diagnosis,"Comorbidity
1-2"
AUPRC_value,55.573,28.5053,81.0159,XGBoost,VL at diagnosis,"Comorbidity
≥3"
AUROC_value,69.7983,47.9824,85.9226,XGBoost,VL at diagnosis,"Comorbidity
≥3"
Accuracy,37.015,22.5806,58.5227,XGBoost,VL at diagnosis,"Comorbidity
≥3"
NPV,77.8333,0.0,100.0,XGBoost,VL at diagnosis,"Comorbidity
≥3"
Precision,32.3983,20.5,48.75,XGBoost,VL at diagnosis,"Comorbidity
≥3"
Sensitivity,98.1571,85.7143,100.0,XGBoost,VL at diagnosis,"Comorbidity
≥3"
Specificity,10.8041,0.0,35.5147,XGBoost,VL at diagnosis,"Comorbidity
≥3"
AUPRC_value,25.1222,1.2011,72.7778,LightGBM,VL at diagnosis,"Comorbidity
1-2"
AUROC_value,85.0795,62.8353,98.9958,LightGBM,VL at diagnosis,"Comorbidity
1-2"
Accuracy,86.8372,59.541,98.5994,LightGBM,VL at diagnosis,"Comorbidity
1-2"
