Model,Metric,Comparison,Mean,Lower,Upper
LightGBM,AUROC value,S1 - S5,-0.01552959501557634,-0.10906542056074774,0.059264018691588774
LightGBM,AUROC value,S2 - S1,0.0024937694704049874,-0.026802959501557692,0.05618380062305285
LightGBM,AUROC value,S2 - S2,0.0,0.0,0.0
LightGBM,AUROC value,S2 - S3,-0.0093753894080997,-0.08610981308411216,0.05471183800623051
LightGBM,AUROC value,S2 - S4,-0.009800623052959503,-0.0958294392523365,0.05132788161993757
LightGBM,AUROC value,S2 - S5,-0.013035825545171348,-0.09432242990654204,0.05570093457943924
LightGBM,AUROC value,S3 - S1,0.011869158878504689,-0.04861370716510906,0.11227414330218066
LightGBM,AUROC value,S3 - S2,0.0093753894080997,-0.05471183800623052,0.08610981308411213
LightGBM,AUROC value,S3 - S3,0.0,0.0,0.0
LightGBM,AUROC value,S3 - S4,-0.0004252336448598026,-0.07987538940809973,0.054193925233644795
LightGBM,AUROC value,S3 - S5,-0.003660436137071653,-0.07062694704049846,0.05107866043613707
LightGBM,AUROC value,S4 - S1,0.012294392523364488,-0.062535046728972,0.1065225856697819
LightGBM,AUROC value,S4 - S2,0.009800623052959503,-0.05132788161993773,0.09582943925233636
LightGBM,AUROC value,S4 - S3,0.0004252336448598026,-0.054193925233644816,0.07987538940809948
LightGBM,AUROC value,S4 - S4,0.0,0.0,0.0
LightGBM,AUROC value,S4 - S5,-0.0032352024922118507,-0.04414330218068544,0.0536059190031152
LightGBM,AUROC value,S5 - S1,0.01552959501557634,-0.05926401869158882,0.10906542056074772
LightGBM,AUROC value,S5 - S2,0.013035825545171348,-0.05570093457943932,0.09432242990654201
LightGBM,AUROC value,S5 - S3,0.003660436137071653,-0.0510786604361371,0.07062694704049831
LightGBM,AUROC value,S5 - S4,0.0032352024922118507,-0.053605919003115204,0.044143302180685365
LightGBM,AUROC value,S5 - S5,0.0,0.0,0.0
LightGBM,Accuracy,S1 - S1,0.0,0.0,0.0
LightGBM,Accuracy,S1 - S2,-0.027311178247734144,-0.33640483383685804,0.20876132930513588
LightGBM,Accuracy,S1 - S3,-0.07948640483383686,-0.35649546827794565,0.17409365558912374
LightGBM,Accuracy,S1 - S4,-0.09876132930513595,-0.33089123867069486,0.15188821752265785
LightGBM,Accuracy,S1 - S5,-0.10812688821752266,-0.3339123867069486,0.06827794561933473
LightGBM,Accuracy,S2 - S1,0.027311178247734144,-0.208761329305136,0.3364048338368577
LightGBM,Accuracy,S2 - S2,0.0,0.0,0.0
LightGBM,Accuracy,S2 - S3,-0.05217522658610271,-0.347583081570997,0.1928247734138969
LightGBM,Accuracy,S2 - S4,-0.07145015105740181,-0.33089123867069486,0.18761329305135946
LightGBM,Accuracy,S2 - S5,-0.08081570996978851,-0.3323262839879154,0.07197885196374591
LightGBM,Accuracy,S3 - S1,0.07948640483383686,-0.17409365558912385,0.35649546827794565
LightGBM,Accuracy,S3 - S2,0.05217522658610271,-0.19282477341389723,0.34758308157099693
LightGBM,Accuracy,S3 - S3,0.0,0.0,0.0
LightGBM,Accuracy,S3 - S4,-0.019274924471299092,-0.26790030211480353,0.18361027190332302
LightGBM,Accuracy,S3 - S5,-0.028640483383685796,-0.27507552870090635,0.06805135951661628
LightGBM,Accuracy,S4 - S1,0.09876132930513595,-0.15188821752265863,0.33089123867069486
LightGBM,Accuracy,S4 - S2,0.07145015105740181,-0.18761329305135957,0.33089123867069486
LightGBM,Accuracy,S4 - S3,0.019274924471299092,-0.1836102719033233,0.26790030211480337
LightGBM,Accuracy,S4 - S4,0.0,0.0,0.0
LightGBM,Accuracy,S4 - S5,-0.00936555891238671,-0.14735649546827795,0.09282477341389705
LightGBM,Accuracy,S5 - S1,0.10812688821752266,-0.06827794561933534,0.3339123867069486
LightGBM,Accuracy,S5 - S2,0.08081570996978851,-0.07197885196374623,0.3323262839879154
LightGBM,Accuracy,S5 - S3,0.028640483383685796,-0.0680513595166163,0.2750755287009063
LightGBM,Accuracy,S5 - S4,0.00936555891238671,-0.09282477341389729,0.14735649546827767
LightGBM,Accuracy,S5 - S5,0.0,0.0,0.0
LightGBM,NPV,S1 - S1,0.0,0.0,0.0
LightGBM,NPV,S1 - S2,0.0013307126491437803,-0.011068506723383983,0.012822699115498819
LightGBM,NPV,S1 - S3,0.00244736744369083,-0.008415030567015083,0.012822699115498819
LightGBM,NPV,S1 - S4,0.0025716947101173814,-0.009819071606678892,0.012684988798501336
LightGBM,NPV,S1 - S5,0.0027460186727794288,-0.009790612156913538,0.013164882134530702
LightGBM,NPV,S2 - S1,-0.0013307126491437803,-0.01282269911549882,0.011068506723383982
LightGBM,NPV,S2 - S2,0.0,0.0,0.0
LightGBM,NPV,S2 - S3,0.0011166547945470496,-0.006502040440551027,0.01033223122866894
LightGBM,NPV,S2 - S4,0.001240982060973601,-0.00812431347163462,0.010435320229481371
LightGBM,NPV,S2 - S5,0.0014153060236356484,-0.008096105782883606,0.012793905440964275
LightGBM,NPV,S3 - S1,-0.00244736744369083,-0.01282269911549882,0.00841503056701507
LightGBM,NPV,S3 - S2,-0.0011166547945470496,-0.010332231228668942,0.006502040440551026
LightGBM,NPV,S3 - S3,0.0,0.0,0.0
LightGBM,NPV,S3 - S4,0.00012432726642655156,-0.007149007321619288,0.006357117493525301
LightGBM,NPV,S3 - S5,0.000298651229088599,-0.006866299885769872,0.006547198114218369
LightGBM,NPV,S4 - S1,-0.0025716947101173814,-0.012684988798501337,0.00981907160667885
LightGBM,NPV,S4 - S2,-0.001240982060973601,-0.010435320229481381,0.008124313471634594
LightGBM,NPV,S4 - S3,-0.00012432726642655156,-0.006357117493525302,0.0071490073216192804
LightGBM,NPV,S4 - S4,0.0,0.0,0.0
LightGBM,NPV,S4 - S5,0.00017432396266204743,-0.0035632883134856714,0.006350862843138093
LightGBM,NPV,S5 - S1,-0.0027460186727794288,-0.013164882134530709,0.009790612156913498
LightGBM,NPV,S5 - S2,-0.0014153060236356484,-0.012793905440964278,0.00809610578288358
LightGBM,NPV,S5 - S3,-0.000298651229088599,-0.00654719811421837,0.006866299885769868
LightGBM,NPV,S5 - S4,-0.00017432396266204743,-0.006350862843138095,0.003563288313485671
LightGBM,NPV,S5 - S5,0.0,0.0,0.0
LightGBM,Precision,S1 - S1,0.0,0.0,0.0
LightGBM,Precision,S1 - S2,-0.03404974609213683,-0.23499826107813154,0.07527795162723087
LightGBM,Precision,S1 - S3,-0.06273532423704012,-0.23066339869281047,0.07577241255645936
LightGBM,Precision,S1 - S4,-0.08102423258333154,-0.24888939152303258,0.07282985558033328
LightGBM,Precision,S1 - S5,-0.08517273538161893,-0.23499826107813154,0.028453726123217605
LightGBM,Precision,S2 - S1,0.03404974609213683,-0.07527795162723089,0.23499826107813143
LightGBM,Precision,S2 - S2,0.0,0.0,0.0
LightGBM,Precision,S2 - S3,-0.028685578144903277,-0.23739583333333333,0.1527389277389277
LightGBM,Precision,S2 - S4,-0.04697448649119469,-0.2379367236024845,0.1631725628930816
LightGBM,Precision,S2 - S5,-0.05112298928948209,-0.225803144493978,0.09916392182696522
LightGBM,Precision,S3 - S1,0.06273532423704012,-0.07577241255645949,0.2306633986928104
LightGBM,Precision,S3 - S2,0.028685578144903277,-0.15273892773892772,0.23739583333333328
LightGBM,Precision,S3 - S3,0.0,0.0,0.0
LightGBM,Precision,S3 - S4,-0.018288908346291412,-0.22415454311149005,0.13264732174783664
LightGBM,Precision,S3 - S5,-0.022437411144578815,-0.232559148141764,0.10187499999999995
LightGBM,Precision,S4 - S1,0.08102423258333154,-0.07282985558033343,0.24888939152303258
LightGBM,Precision,S4 - S2,0.04697448649119469,-0.16317256289308174,0.23793672360248444
LightGBM,Precision,S4 - S3,0.018288908346291412,-0.13264732174783667,0.22415454311149002
LightGBM,Precision,S4 - S4,0.0,0.0,0.0
LightGBM,Precision,S4 - S5,-0.004148502798287398,-0.14647164965107262,0.13209477124182997
LightGBM,Precision,S5 - S1,0.08517273538161893,-0.02845372612321765,0.23499826107813143
LightGBM,Precision,S5 - S2,0.05112298928948209,-0.09916392182696532,0.225803144493978
LightGBM,Precision,S5 - S3,0.022437411144578815,-0.10187499999999998,0.2325591481417639
LightGBM,Precision,S5 - S4,0.004148502798287398,-0.13209477124183006,0.14647164965107218
LightGBM,Precision,S5 - S5,0.0,0.0,0.0
LightGBM,Sensitivity,S1 - S1,0.0,0.0,0.0
LightGBM,Sensitivity,S1 - S2,0.05,-0.25250000000000006,0.4
LightGBM,Sensitivity,S1 - S3,0.08600000000000002,-0.15250000000000008,0.4
LightGBM,Sensitivity,S1 - S4,0.094,-0.20000000000000007,0.4
LightGBM,Sensitivity,S1 - S5,0.10000000000000002,-0.20000000000000007,0.4
LightGBM,Sensitivity,S2 - S1,-0.05,-0.4,0.2524999999999992
LightGBM,Sensitivity,S2 - S2,0.0,0.0,0.0
LightGBM,Sensitivity,S2 - S3,0.036,-0.20000000000000007,0.30000000000000004
LightGBM,Sensitivity,S2 - S4,0.044,-0.20000000000000007,0.30000000000000004
LightGBM,Sensitivity,S2 - S5,0.04999999999999999,-0.20000000000000007,0.4
LightGBM,Sensitivity,S3 - S1,-0.08600000000000002,-0.4,0.15249999999999922
LightGBM,Sensitivity,S3 - S2,-0.036,-0.30000000000000004,0.20000000000000007
LightGBM,Sensitivity,S3 - S3,0.0,0.0,0.0
LightGBM,Sensitivity,S3 - S4,0.008000000000000002,-0.20000000000000007,0.20000000000000007
LightGBM,Sensitivity,S3 - S5,0.014000000000000004,-0.20000000000000007,0.20000000000000007
LightGBM,Sensitivity,S4 - S1,-0.094,-0.4,0.20000000000000007
LightGBM,Sensitivity,S4 - S2,-0.044,-0.30000000000000004,0.20000000000000007
LightGBM,Sensitivity,S4 - S3,-0.008000000000000002,-0.20000000000000007,0.20000000000000007
LightGBM,Sensitivity,S4 - S4,0.0,0.0,0.0
LightGBM,Sensitivity,S4 - S5,0.006000000000000001,-0.10000000000000009,0.20000000000000007
LightGBM,Sensitivity,S5 - S1,-0.10000000000000002,-0.4,0.20000000000000007
LightGBM,Sensitivity,S5 - S2,-0.04999999999999999,-0.4,0.20000000000000007
LightGBM,Sensitivity,S5 - S3,-0.014000000000000004,-0.20000000000000007,0.20000000000000007
LightGBM,Sensitivity,S5 - S4,-0.006000000000000001,-0.20000000000000007,0.10000000000000009
LightGBM,Sensitivity,S5 - S5,0.0,0.0,0.0
LightGBM,Specificity,S1 - S1,0.0,0.0,0.0
